Date,Price,Open,High,Low,Volume,Close
07/18/2020,9170.20,9155.80,9198.80,9126.70,20266216022.00,9162.75
07/17/2020,9155.80,9135.40,9181.90,9091.50,22004511436.00,9136.70
07/16/2020,9135.30,9198.70,9224.20,9052.00,24609731549.00,9138.10
07/15/2020,9198.70,9253.60,9270.20,9168.70,21760923463.00,9219.45
07/14/2020,9253.40,9243.10,9274.80,9135.70,19474611077.00,9205.25
07/13/2020,9243.60,9300.50,9329.60,9207.60,19141423231.00,9268.60
07-12-2020,9300.80,9234.20,9337.80,9170.40,16522722810.00,9254.10
07-11-2020,9233.30,9285.80,9295.50,9184.20,16610726547.00,9239.85
07-10-2020,9285.10,9239.00,9309.80,9131.90,18689275117.00,9220.85
07-09-2020,9235.70,9430.10,9434.50,9176.00,17107279932.00,9305.25
07-08-2020,9429.90,9256.30,9458.30,9233.10,19034432883.00,9345.70
07-07-2020,9256.00,9338.80,9371.20,9209.30,18669407147.00,9290.25
07-06-2020,9339.00,9080.40,9363.00,9063.20,19831162906.00,9213.10
07-05-2020,9081.00,9134.30,9149.60,8932.10,18371033226.00,9040.85
07-04-2020,9134.40,9067.10,9182.30,9049.60,23348550311.00,9115.95
07-03-2020,9067.10,9085.00,9120.40,9050.90,15562951919.00,9085.65
07-02-2020,9085.10,9229.90,9259.70,8962.10,15848210536.00,9110.90
07-01-2020,9229.90,9135.90,9289.00,9101.10,15546809946.00,9195.05
06/30/2020,9135.40,9186.00,9199.80,9075.30,17846823784.00,9137.55
06/29/2020,9185.40,9122.80,9229.10,9033.60,20624008643.00,9131.35
06/28/2020,9124.00,9008.40,9185.50,8950.20,29995204861.00,9067.85
06/27/2020,9008.30,9160.50,9190.50,8865.30,20998326502.00,9027.90
06/26/2020,9160.00,9247.50,9296.50,9060.10,19271652365.00,9178.30
06/25/2020,9247.50,9300.80,9327.30,9022.60,24879684533.00,9174.95
06/24/2020,9302.00,9624.60,9667.40,9223.00,45105733173.00,9445.20
06/23/2020,9624.60,9683.90,9715.60,9581.80,39977475223.00,9648.70
06/22/2020,9683.70,9296.50,9751.90,9285.80,35087757766.00,9518.85
06/21/2020,9296.40,9358.80,9411.20,9288.50,29923961128.00,9349.85
06/20/2020,9358.80,9314.00,9394.50,9199.80,27256473494.00,9297.15
06/19/2020,9314.00,9390.30,9424.00,9249.60,29378589324.00,9336.80
06/18/2020,9388.10,9464.60,9480.40,9289.30,31015895223.00,9384.85
06/17/2020,9464.60,9523.60,9543.60,9258.20,30796494294.00,9400.90
06/16/2020,9523.50,9425.60,9577.10,9379.30,25920294033.00,9478.20
06/15/2020,9425.40,9345.50,9489.70,8925.60,23838480210.00,9207.65
06/14/2020,9345.30,9470.70,9474.70,9264.40,21092024306.00,9369.55
06/13/2020,9471.30,9466.50,9484.90,9369.90,19369044277.00,9427.40
06-12-2020,9466.60,9283.70,9547.50,9249.40,23482551458.00,9398.45
06-11-2020,9283.20,9878.90,9945.20,9139.10,28167921523.00,9542.15
06-10-2020,9878.80,9768.80,9970.90,9710.70,33627574244.00,9840.80
06-09-2020,9768.80,9777.70,9857.20,9616.60,28595327690.00,9736.90
06-08-2020,9777.90,9743.40,9788.20,9662.30,23534692797.00,9725.25
06-07-2020,9742.60,9669.60,9791.80,9417.40,21042616384.00,9604.60
06-06-2020,9669.60,9630.80,9733.10,9549.50,22486000001.00,9641.30
06-05-2020,9631.20,9794.00,9846.10,9628.70,25384047207.00,9737.40
06-04-2020,9794.40,9667.20,9864.40,9490.90,24151199070.00,9677.65
06-03-2020,9667.20,9527.00,9667.20,9421.70,24569921549.00,9544.45
06-02-2020,9527.60,10190.70,10207.30,9347.30,25187024648.00,9777.30
06-01-2020,10189.30,9454.50,10301.80,9429.70,20727426310.00,9865.75
05/31/2020,9454.80,9692.90,9695.60,9406.20,20206615155.00,9550.90
05/30/2020,9692.50,9424.80,9729.90,9352.70,17130580467.00,9541.30
05/29/2020,9424.80,9573.40,9596.50,9358.10,16334414913.00,9477.30
05/28/2020,9572.20,9199.80,9610.80,9119.20,17851916995.00,9365.00
05/27/2020,9199.10,8842.30,9210.90,8818.60,17398734322.00,9014.75
05/26/2020,8842.50,8897.70,8994.60,8713.90,15821952090.00,8854.25
05/25/2020,8898.20,8728.00,8959.50,8666.10,14495714483.00,8812.80
05/24/2020,8728.20,9177.90,9292.00,8724.10,16817809536.00,9008.05
05/23/2020,9177.00,9169.80,9303.20,9098.90,13738687093.00,9201.05
05/22/2020,9169.70,9058.20,9253.50,8952.10,13791445323.00,9102.80
05/21/2020,9059.00,9511.60,9567.10,8833.60,13829811132.00,9200.35
05/20/2020,9512.30,9773.00,9829.30,9368.40,16631520648.00,9598.85
